CET Marks,College Name,Branch,Timestamp
87.0,General,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 20:59:58
87.0,General,DY Patil,Data Science,2025-04-26 20:59:58
87.0,General,DKTE,Mechanical Engineering,2025-04-26 20:59:58
87.0,General,DKTE,Man Made Textile Technology,2025-04-26 20:59:58
87.0,General,DKTE,Civil Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Chemical Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Mechanical Engineering,2025-04-26 20:59:58
87.0,General,DY Patil,Civil Engineering,2025-04-26 20:59:58
83.0,OBC,DKTE,Textile Chemistry,2025-04-26 21:00:07
83.0,OBC,DY Patil,Computer Science Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Electrical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 21:00:07
83.0,OBC,DKTE,Textile Technology,2025-04-26 21:00:07
83.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 21:00:07
83.0,OBC,DY Patil,Data Science,2025-04-26 21:00:07
83.0,OBC,DKTE,Mechanical Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Man Made Textile Technology,2025-04-26 21:00:07
83.0,OBC,DKTE,Civil Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Chemical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Mechanical Engineering,2025-04-26 21:00:07
83.0,OBC,DY Patil,Civil Engineering,2025-04-26 21:00:07
83.0,OBC,DKTE,Textile Chemistry,2025-04-26 21:08:26
83.0,OBC,DY Patil,Computer Science Engineering,2025-04-26 21:08:26
83.0,OBC,DKTE,Electrical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-04-26 21:08:26
83.0,OBC,DKTE,Textile Technology,2025-04-26 21:08:26
83.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-04-26 21:08:26
83.0,OBC,DY Patil,Data Science,2025-04-26 21:08:26
83.0,OBC,DKTE,Mechanical Engineering,2025-04-26 21:08:26
83.0,OBC,DKTE,Man Made Textile Technology,2025-04-26 21:08:26
83.0,OBC,DKTE,Civil Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Chemical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Mechanical Engineering,2025-04-26 21:08:26
83.0,OBC,DY Patil,Civil Engineering,2025-04-26 21:08:26
